Pid,OPTid,Px,Py,rD,cD,cluster,notCore
0,0,55.0,40.0,9223372036854775807,1.41421356237,1,False
12,1,54.0,41.0,1.41421356237,1.41421356237,1,False
279,2,54.0,40.0,1.41421356237,1.0,1,False
462,3,54.0,40.0,1.0,1.0,1,False
886,4,53.0,40.0,1.0,1.41421356237,1,False
379,5,56.0,41.0,1.41421356237,2.2360679775,1,False
764,6,53.0,39.0,1.41421356237,1.41421356237,1,False
759,7,54.0,38.0,1.41421356237,2.2360679775,1,False
579,8,57.0,40.0,2.0,3.0,1,False
680,9,54.0,43.0,2.0,2.82842712475,1,False
258,10,52.0,42.0,2.2360679775,2.2360679775,1,False
59,11,51.0,42.0,2.2360679775,1.41421356237,1,False
100,12,51.0,42.0,1.41421356237,1.41421356237,1,False
479,13,50.0,42.0,1.41421356237,2.0,1,False
795,14,50.0,43.0,1.41421356237,1.41421356237,1,False
516,15,51.0,44.0,1.41421356237,2.0,1,False
14,16,48.0,42.0,2.0,2.0,1,False
67,17,46.0,42.0,2.0,2.0,1,False
71,18,46.0,40.0,2.0,2.0,1,False
10,19,46.0,38.0,2.0,2.0,1,False
74,20,45.0,37.0,2.0,2.0,1,False
120,21,44.0,38.0,2.0,1.41421356237,1,False
137,22,43.0,39.0,1.41421356237,1.41421356237,1,False
407,23,43.0,39.0,1.41421356237,1.41421356237,1,False
547,24,44.0,38.0,1.41421356237,1.41421356237,1,False
1004,25,43.0,39.0,1.41421356237,1.41421356237,1,False
134,26,45.0,35.0,2.0,2.0,1,False
110,27,46.0,34.0,2.0,2.0,1,False
86,28,46.0,33.0,2.0,2.2360679775,1,False
135,29,45.0,42.0,2.0,2.2360679775,1,False
148,30,48.0,43.0,2.0,2.0,1,False
108,31,47.0,44.0,2.0,2.2360679775,1,False
325,32,45.0,41.0,2.0,1.41421356237,1,False
534,33,44.0,41.0,1.41421356237,2.2360679775,1,False
369,34,44.0,35.0,2.0,2.2360679775,1,False
