Pid,OPTid,Px,Py,rD,cD,cluster,notCore
90,6,45.0,32.0,8.48528137424,5.09901951359,1,False
50,7,44.0,28.0,5.09901951359,4.0,1,False
30,8,41.0,26.0,4.0,2.2360679775,1,False
62,9,40.0,28.0,2.2360679775,1.41421356237,1,False
42,10,40.0,29.0,1.41421356237,1.0,1,False
54,11,39.0,29.0,1.0,1.41421356237,1,False
66,12,40.0,28.0,1.0,1.41421356237,1,False
114,13,40.0,29.0,1.0,1.0,1,False
78,14,40.0,31.0,2.0,2.2360679775,1,False
102,15,41.0,25.0,2.2360679775,3.0,1,False
118,16,40.0,25.0,2.2360679775,2.0,1,False
58,17,38.0,25.0,2.0,2.82842712475,1,False
130,18,38.0,25.0,2.0,2.82842712475,1,False
126,19,40.0,32.0,2.2360679775,3.16227766017,1,False
138,20,43.0,26.0,2.2360679775,3.16227766017,1,False
34,21,36.0,27.0,2.82842712475,2.82842712475,1,False
46,22,36.0,25.0,2.82842712475,3.0,1,False
142,23,36.0,28.0,2.82842712475,3.60555127546,1,False
110,24,40.0,22.0,3.0,3.0,1,False
74,25,39.0,22.0,3.0,2.2360679775,1,False
82,26,37.0,21.0,2.2360679775,3.0,1,False
86,27,39.0,21.0,2.2360679775,2.0,1,False
134,28,39.0,22.0,2.0,2.2360679775,1,False
38,29,41.0,19.0,2.82842712475,3.60555127546,1,False
98,30,37.0,18.0,3.0,3.60555127546,1,False
122,31,33.0,26.0,3.16227766017,5.09901951359,1,False
146,32,40.0,18.0,3.16227766017,4.0,1,False
70,33,34.0,18.0,3.60555127546,6.0,1,False
106,34,45.0,18.0,4.12310562562,6.7082039325,1,False
94,35,46.0,31.0,4.0,6.0,1,False
17,36,52.0,19.0,7.07106781187,5.38516480713,2,False
43,37,53.0,21.0,5.38516480713,3.60555127546,2,False
91,38,55.0,20.0,3.60555127546,3.16227766017,2,False
99,39,54.0,19.0,3.16227766017,3.60555127546,2,False
107,40,57.0,21.0,3.16227766017,3.0,2,False
63,41,57.0,24.0,3.0,2.0,2,False
67,42,59.0,24.0,2.0,1.0,2,False
59,43,60.0,24.0,1.0,1.0,2,False
71,44,59.0,23.0,1.0,1.41421356237,2,False
